Sat May  8 15:04:46 2021, 1620457486, 108.177.125.188, 192.168.43.178, 47873, 30386, ACK, TCP, 4
Sat May  8 15:04:46 2021, 1620457486, 192.168.43.178, 108.177.125.188, 30386, 47873, ACK, TCP, 4
Sat May  8 15:06:09 2021, 1620457569, 51.81.35.164, 192.168.43.178, 34528, 2231, ACK, TCP, 4
Sat May  8 15:06:09 2021, 1620457569, 192.168.43.178, 51.81.35.164, 2231, 34528, ACK, TCP, 4
Sat May  8 15:06:09 2021, 1620457569, 51.81.35.164, 192.168.43.178, 34528, 2231, ACK, TCP, 4
Sat May  8 15:06:09 2021, 1620457569, 192.168.43.178, 51.81.35.164, 2231, 34528, ACK, TCP, 4
Sat May  8 15:06:09 2021, 1620457569, 108.177.125.188, 192.168.43.178, 47873, 30386, ACK, TCP, 4
Sat May  8 15:06:09 2021, 1620457569, 192.168.43.178, 108.177.125.188, 30386, 47873, ACK, TCP, 4
Sat May  8 15:06:20 2021, 1620457580, 51.81.35.164, 192.168.43.178, 34528, 2231, ACK, TCP, 4
Sat May  8 15:06:20 2021, 1620457580, 192.168.43.178, 51.81.35.164, 2231, 34528, ACK, TCP, 4
Sat May  8 15:06:21 2021, 1620457581, 51.81.35.164, 192.168.43.178, 34528, 2231, ACK, TCP, 4
Sat May  8 15:06:21 2021, 1620457581, 192.168.43.178, 51.81.35.164, 2231, 34528, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, SYN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKSYN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 202.120.58.155, 64702, 47873, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 202.120.58.155, 192.168.43.178, 47873, 64702, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 176.9.38.148, 192.168.43.178, 20480, 48828, SYN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 176.9.38.148, 48828, 20480, ACKSYN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 176.9.38.148, 192.168.43.178, 20480, 48828, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 176.9.38.148, 192.168.43.178, 20480, 48828, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 5.39.83.67, 192.168.43.178, 20480, 33426, SYN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 176.9.38.148, 48828, 20480, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 176.9.38.148, 48828, 20480, ACKPUSH, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 176.9.38.148, 48828, 20480, ACKFIN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 176.9.38.148, 192.168.43.178, 20480, 48828, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 176.9.38.148, 192.168.43.178, 20480, 48828, ACKFIN, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 176.9.38.148, 48828, 20480, ACK, TCP, 4
Sat May  8 15:06:29 2021, 1620457589, 192.168.43.178, 5.39.83.67, 33426, 20480, ACKSYN, TCP, 4
