Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 14814, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 15838, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 45005, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 6062, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 43936, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 26022, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 1498, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 31212, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 56803, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 20372, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 44929, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37846, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 56300, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 26604, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 51630, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 62906, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 33726, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 64900, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 31133, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 31199, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37307, SYN, TCP, 4
